Date and time (PDT),Metres
2022-07-04T12:09:00,1.2
2022-07-04T18:59:00,3.9
2022-07-05T00:42:00,2.5
2022-07-05T06:01:00,3.7
2022-07-05T12:46:00,1.4
2022-07-05T19:39:00,3.9
2022-07-06T01:45:00,2.3
2022-07-06T07:00:00,3.5
2022-07-06T13:25:00,1.6
2022-07-06T20:20:00,4
2022-07-07T02:51:00,2.1
2022-07-07T08:15:00,3.3
2022-07-07T14:12:00,1.9
2022-07-07T21:03:00,4.1
2022-07-08T03:54:00,1.8
2022-07-08T09:50:00,3.2
2022-07-08T15:08:00,2.2
2022-07-08T21:48:00,4.3
2022-07-09T04:55:00,1.4
2022-07-09T11:21:00,3.3
2022-07-09T16:11:00,2.4
2022-07-09T22:36:00,4.5
2022-07-10T05:53:00,1
2022-07-10T12:33:00,3.5
2022-07-10T17:16:00,2.5
2022-07-10T23:26:00,4.7
2022-07-11T06:49:00,0.6
2022-07-11T13:31:00,3.8
2022-07-11T18:20:00,2.5
2022-07-12T00:18:00,4.8
2022-07-12T07:43:00,0.3
2022-07-12T14:22:00,4
2022-07-12T19:20:00,2.4
2022-07-13T01:13:00,5
2022-07-13T08:34:00,0.1
2022-07-13T15:09:00,4.2
2022-07-13T20:17:00,2.2
2022-07-14T02:10:00,5.1
2022-07-14T09:22:00,0
2022-07-14T15:54:00,4.3
2022-07-14T21:11:00,2.1
2022-07-15T03:06:00,5
2022-07-15T10:07:00,0
2022-07-15T16:39:00,4.4
2022-07-15T22:05:00,2
2022-07-16T03:59:00,4.9
2022-07-16T10:51:00,0.2
2022-07-16T17:23:00,4.4
2022-07-16T22:59:00,1.9
2022-07-17T04:52:00,4.6
2022-07-17T11:33:00,0.5
2022-07-17T18:08:00,4.4
2022-07-17T23:55:00,1.9
2022-07-18T05:43:00,4.3
2022-07-18T12:14:00,0.9
2022-07-18T18:52:00,4.4
2022-07-19T00:55:00,1.9
2022-07-19T06:37:00,3.9
2022-07-19T12:55:00,1.4
2022-07-19T19:38:00,4.3
2022-07-20T01:58:00,1.9
2022-07-20T07:40:00,3.5
2022-07-20T13:37:00,1.8
2022-07-20T20:25:00,4.2
2022-07-21T03:06:00,1.8
2022-07-21T09:04:00,3.2
2022-07-21T14:25:00,2.3
2022-07-21T21:14:00,4.2
2022-07-22T04:13:00,1.6
2022-07-22T10:45:00,3.2
2022-07-22T15:28:00,2.6
2022-07-22T22:05:00,4.1
2022-07-23T05:17:00,1.5
2022-07-23T12:09:00,3.3
2022-07-23T16:42:00,2.8
2022-07-23T22:55:00,4.1
2022-07-24T06:15:00,1.3
2022-07-24T13:07:00,3.4
2022-07-24T17:48:00,2.8
2022-07-24T23:42:00,4.2
2022-07-25T07:05:00,1.1
2022-07-25T13:50:00,3.6
2022-07-25T18:40:00,2.8
2022-07-26T00:25:00,4.2
2022-07-26T07:49:00,1
2022-07-26T14:27:00,3.7
2022-07-26T19:24:00,2.7
2022-07-27T01:04:00,4.3
2022-07-27T08:27:00,0.8
2022-07-27T15:00:00,3.8
2022-07-27T20:03:00,2.6
2022-07-28T01:43:00,4.3
2022-07-28T09:01:00,0.7
2022-07-28T15:32:00,3.9
2022-07-28T20:40:00,2.4
2022-07-29T02:21:00,4.3
2022-07-29T09:33:00,0.7
2022-07-29T16:03:00,3.9
2022-07-29T21:19:00,2.3
2022-07-30T03:01:00,4.3
2022-07-30T10:03:00,0.7
2022-07-30T16:35:00,4
2022-07-30T21:59:00,2.2
2022-07-31T03:42:00,4.3
2022-07-31T10:33:00,0.8
2022-07-31T17:07:00,4.1
2022-07-31T22:42:00,2.2
